price,cost,sales,ProfitMargin,inventory,DiscountPercentage,DeliveryDays,category,material,color,location,season,StoreType,brand,revenue
218.5,181.6,40,16.9,105,27.8,9,Bed,Plastic,Red,Rural,Spring,Online,BrandA,3949.2
477.8,385,7,19.4,192,26.9,6,Chair,Glass,Blue,Rural,Summer,Online,BrandD,-3521
379.4,276.7,32,27.1,59,22,2,Table,Metal,Black,Suburban,Fall,Online,BrandD,14285.6
319.4,281.8,48,11.8,45,11,2,Table,Glass,Green,Rural,Summer,Retail,BrandD,12261.1
120.2,69.7,19,42,35,3.2,9,Chair,Glass,Brown,Rural,Fall,Online,BrandD,-4588.3
120.2,65.4,6,45.6,185,20.7,8,Table,Plastic,Brown,Urban,Fall,Retail,BrandB,9136.3
76.1,64.1,20,15.8,165,29.4,9,Sofa,Glass,Green,Suburban,Summer,Online,BrandA,4128.4
439.8,297.1,27,32.4,10,21.8,4,Sofa,Wood,White,Urban,Winter,Retail,BrandC,9517
320.5,268.8,43,16.1,11,27.9,4,Bed,Fabric,Brown,Suburban,Spring,Retail,BrandD,8882.5
368.6,316,37,14.3,169,24.1,2,Sofa,Fabric,Black,Urban,Spring,Retail,BrandD,8946.6
59.3,31.1,48,47.5,38,4.9,1,Sofa,Plastic,Green,Urban,Spring,Online,BrandB,1201.7
486.5,415.1,7,14.7,198,7.5,4,Desk,Fabric,White,Rural,Fall,Retail,BrandB,1782.8
424.6,288.4,5,32.1,138,10.3,8,Desk,Wood,Blue,Rural,Fall,Retail,BrandB,-1043.3
145.6,102.5,11,29.6,35,5.1,2,Desk,Plastic,Blue,Suburban,Summer,Online,BrandA,1003.5
131.8,99,15,24.9,51,17.5,8,Desk,Metal,Black,Suburban,Winter,Retail,BrandC,-1415.1
132.5,115.4,3,12.9,30,29.3,1,Table,Fabric,Black,Suburban,Summer,Retail,BrandA,1398.5
186.9,94.9,5,49.2,32,22.8,1,Bed,Glass,Black,Rural,Summer,Online,BrandD,603.7
286.1,197.7,23,30.9,140,12.7,4,Bed,Wood,Brown,Urban,Winter,Retail,BrandB,2242.9
244.4,189.4,37,22.5,145,0.1,7,Sofa,Wood,Black,Suburban,Fall,Online,BrandD,8595.6
181.1,142.9,9,21.1,168,9.4,9,Bed,Fabric,Green,Rural,Summer,Online,BrandC,4191
325.3,252.8,15,22.3,57,15.8,5,Sofa,Metal,Green,Rural,Summer,Online,BrandC,-7173.2
112.8,62.5,3,44.6,183,9.7,2,Bed,Glass,White,Urban,Fall,Retail,BrandA,3196.4
181.5,112.5,29,38,151,3.3,7,Chair,Metal,Green,Urban,Spring,Online,BrandA,-1044.7
214.9,138.3,6,35.7,127,13.3,2,Chair,Metal,Brown,Rural,Winter,Retail,BrandB,-1176.5
255.2,209.7,17,17.8,30,7.6,9,Bed,Fabric,Blue,Urban,Winter,Retail,BrandB,-10139.1
403.3,246.6,26,38.9,54,27.3,9,Table,Glass,White,Urban,Spring,Retail,BrandD,10454.5
139.9,81.7,21,41.6,9,3.1,3,Sofa,Fabric,Green,Rural,Winter,Retail,BrandB,-853.9
281.4,248.5,8,11.7,187,1.5,8,Bed,Fabric,Black,Suburban,Spring,Online,BrandB,-281
316.6,159.4,21,49.7,129,0.2,4,Sofa,Wood,Green,Suburban,Summer,Online,BrandD,7091
70.9,63.8,11,10.1,14,9.8,3,Desk,Fabric,Red,Rural,Winter,Retail,BrandC,-9150.8
323.4,249.3,38,22.9,2,19.8,1,Bed,Plastic,White,Suburban,Winter,Retail,BrandB,10164.7
126.7,105.4,8,16.9,42,21.9,5,Table,Glass,Brown,Rural,Summer,Online,BrandB,4033
79.3,49,42,38.2,158,13.6,4,Desk,Wood,Green,Rural,Fall,Online,BrandD,3747.7
477,241.2,24,49.4,197,20.5,1,Bed,Glass,Green,Urban,Fall,Online,BrandD,7128.5
484.5,385.3,35,20.5,66,10.8,8,Chair,Wood,Brown,Suburban,Summer,Retail,BrandD,15333.4
413.8,345,14,16.6,55,20,8,Bed,Plastic,Blue,Rural,Winter,Online,BrandD,4254.9
187.1,149,14,20.4,62,1.2,8,Chair,Fabric,Black,Suburban,Winter,Online,BrandD,6379.9
94,52.3,10,44.3,14,11.7,3,Chair,Wood,Black,Suburban,Winter,Online,BrandB,7104.4
357.9,286.8,12,19.9,108,23.7,6,Bed,Wood,Blue,Suburban,Spring,Retail,BrandA,1221.7
248.1,200.3,38,19.2,115,24.1,7,Bed,Wood,Blue,Rural,Fall,Online,BrandA,8313.4
104.9,80.1,44,23.7,91,21.5,9,Chair,Plastic,Red,Urban,Winter,Online,BrandA,286.6
272.8,220,46,19.4,137,6.1,5,Sofa,Glass,Brown,Suburban,Fall,Online,BrandB,13864.7
65.5,54.9,34,16.2,165,7.4,9,Desk,Plastic,White,Rural,Fall,Retail,BrandC,4361.7
459.2,342.3,41,25.5,46,29.9,6,Table,Wood,Black,Suburban,Winter,Retail,BrandB,12367
166.5,89.1,10,46.5,56,3.1,4,Bed,Wood,Blue,Urban,Summer,Online,BrandA,4208
348.1,242,17,30.5,49,5.4,1,Desk,Fabric,Blue,Suburban,Summer,Retail,BrandA,5613.5
190.3,101,17,46.9,70,3.9,1,Desk,Plastic,Brown,Rural,Fall,Retail,BrandD,2868.1
284,188.3,3,33.7,142,9.8,5,Sofa,Plastic,White,Suburban,Spring,Online,BrandD,-3633.5
296,196.2,31,33.7,145,6.3,3,Desk,Metal,Blue,Suburban,Fall,Retail,BrandD,9457.8
133.2,70.1,1,47.4,81,14.9,5,Bed,Glass,Red,Suburban,Fall,Online,BrandB,-2776.3
486.3,311,12,36.1,115,14.3,5,Desk,Metal,White,Urban,Summer,Retail,BrandC,9350.8
398.8,217.1,39,45.6,104,27.1,1,Bed,Metal,Red,Suburban,Winter,Retail,BrandC,7131.1
472.8,389.2,4,17.7,87,1,8,Bed,Glass,Green,Rural,Winter,Online,BrandD,3215.6
452.7,397.9,42,12.1,1,9.6,5,Chair,Fabric,Black,Suburban,Spring,Online,BrandC,15884.6
319.1,168.8,13,47.1,103,17.9,5,Sofa,Fabric,Blue,Suburban,Summer,Online,BrandA,4736.9
464.8,410,34,11.8,83,18.1,9,Table,Glass,White,Suburban,Summer,Retail,BrandA,12645.6
89.8,63.7,42,29.1,42,14.4,8,Chair,Glass,Red,Urban,Fall,Retail,BrandD,-860.9
138.2,85.7,21,38,153,24.5,1,Table,Plastic,Black,Rural,Summer,Retail,BrandD,7660.8
70.4,37.3,22,46.9,70,1.9,3,Bed,Plastic,Black,Suburban,Fall,Retail,BrandD,-2917.2
196.4,137.5,4,30,165,24.5,7,Chair,Plastic,Blue,Rural,Spring,Online,BrandC,3806.3
224.9,183.9,18,18.2,93,14.8,1,Desk,Plastic,Black,Rural,Summer,Online,BrandB,-5044.5
172.1,134.7,5,21.7,41,4,1,Desk,Wood,Blue,Urban,Summer,Online,BrandD,-618.6
422.9,220,19,48,132,26.6,5,Table,Wood,Green,Rural,Fall,Online,BrandC,13546.5
210.5,111.4,2,47.1,138,19.5,9,Bed,Fabric,Blue,Suburban,Summer,Online,BrandD,-1038.2
176.4,116.6,12,33.9,64,4.9,6,Table,Wood,Brown,Urban,Winter,Retail,BrandB,2495.5
294.2,181.9,17,38.2,33,1,2,Sofa,Wood,Red,Urban,Spring,Retail,BrandD,12964.2
113.4,67.3,10,40.7,119,4.2,9,Desk,Plastic,Brown,Rural,Winter,Online,BrandA,372
411,251.7,34,38.8,0,18.3,6,Chair,Plastic,Black,Urban,Fall,Retail,BrandD,12716.5
83.6,68.6,6,17.9,129,5.4,5,Chair,Glass,Black,Rural,Fall,Retail,BrandA,3497.5
494.1,430.7,8,12.8,147,6.8,5,Chair,Plastic,Black,Rural,Fall,Retail,BrandA,-3213.4
397.5,263.2,11,33.8,60,0.8,3,Desk,Glass,Blue,Urban,Spring,Online,BrandC,1912.1
139.4,120.2,12,13.8,148,21.7,6,Bed,Glass,White,Suburban,Summer,Retail,BrandC,1959.6
52.5,33,9,37.1,87,24.3,4,Desk,Wood,Blue,Rural,Winter,Online,BrandA,-7621.8
417,287.9,2,30.9,67,23.9,2,Desk,Plastic,Red,Urban,Summer,Retail,BrandA,7483.6
368.1,217.3,8,41,126,3.8,3,Chair,Wood,Blue,Urban,Fall,Retail,BrandD,6614.1
378.1,285.9,11,24.4,139,27.1,9,Desk,Plastic,Black,Rural,Summer,Online,BrandD,6069.1
397.1,354,36,10.8,21,20.2,9,Chair,Wood,Green,Rural,Spring,Online,BrandA,18011.6
83.3,61.8,10,25.9,147,26.9,6,Bed,Wood,Red,Rural,Fall,Online,BrandC,4225.1
211.3,135.9,21,35.7,81,13.4,9,Sofa,Wood,Brown,Rural,Summer,Online,BrandD,2692.8
102.1,77.5,20,24.1,128,13.1,4,Chair,Fabric,Green,Suburban,Winter,Retail,BrandD,-6386.2
438.4,240.8,48,45.1,29,23.5,5,Table,Wood,Red,Suburban,Fall,Online,BrandD,12684.3
330.5,282.7,8,14.5,125,2.8,6,Sofa,Metal,Red,Suburban,Fall,Online,BrandC,-691.3
198.9,139.5,36,29.9,96,15.6,9,Bed,Metal,Black,Suburban,Spring,Retail,BrandA,9135.6
78.6,53.4,29,32,23,25.1,5,Sofa,Metal,Brown,Urban,Spring,Retail,BrandD,2112
189.9,139.5,42,26.6,13,24.9,8,Chair,Glass,Blue,Rural,Winter,Retail,BrandC,-1836.7
